0,BE3EB813,   
1,1076100,
3,100,
4,54,
5,52,
6,80,
7,7D,
0B,2C,
0C,0FC2,
0D,0,
0E,8D,
0F,4E,
11,2D,
13,3,
14,5B80,
15,5AFF,
1C,20,
1F,000A,
20,8005A001,
21,000C,
2E,0,
30,58,
31,04BF,
33,61,
40,7AD00000,
42,373C,
43,005A,
44,8000,
49,32,
